                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0781,                0.90694,                 1.0815,                0.73187,                0.63117,                0.73898,                0.59143,                 1.2126,                 1.1627,                 1.1553,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.2257,                 1.1384,                 1.1636,                0.57214,                 0.5559,                0.57881,                0.45672,                 1.3261,                 1.5232,                 1.2118,               0.006596,               0.006596,               0.006596
                      3,                  1.397,                 1.4673,                 1.2666,                0.53397,                  0.357,                0.40623,                0.30056,                 1.4331,                 1.7259,                  1.274,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.4812,                 1.6187,                 1.3281,                0.56486,                0.40254,                0.44778,                0.31495,                 1.4874,                 1.6211,                 1.2957,               0.009703,               0.009703,               0.009703
                      5,                 1.4557,                 1.5588,                 1.3132,                0.48465,                0.48933,                0.52998,                0.40378,                 1.3431,                 1.5664,                 1.2408,               0.009604,               0.009604,               0.009604
                      6,                 1.4287,                 1.5097,                 1.2998,                0.63584,                0.48929,                0.58733,                0.44238,                 1.3748,                 1.4751,                 1.2546,               0.009505,               0.009505,               0.009505
                      7,                  1.402,                  1.462,                 1.2908,                0.60989,                0.54327,                0.57109,                0.44136,                 1.3026,                   1.38,                 1.2197,               0.009406,               0.009406,               0.009406
                      8,                 1.3771,                  1.411,                 1.2735,                 0.5838,                0.56761,                0.60005,                0.47409,                 1.2822,                 1.3373,                 1.2087,               0.009307,               0.009307,               0.009307
                      9,                 1.3647,                 1.3809,                 1.2656,                0.69734,                0.57124,                0.65205,                 0.5159,                  1.274,                 1.2806,                 1.2047,               0.009208,               0.009208,               0.009208
                     10,                 1.3409,                 1.3501,                 1.2546,                0.61953,                0.57966,                0.66657,                0.52284,                 1.2414,                 1.2476,                 1.1809,               0.009109,               0.009109,               0.009109
                     11,                 1.3298,                 1.3172,                 1.2519,                0.71318,                0.54005,                0.64689,                0.51627,                 1.2444,                 1.2769,                 1.1932,                0.00901,                0.00901,                0.00901
                     12,                 1.3168,                 1.2974,                  1.242,                0.69392,                0.55814,                0.66481,                0.52747,                  1.236,                 1.2335,                 1.1819,               0.008911,               0.008911,               0.008911
                     13,                 1.3103,                  1.283,                 1.2407,                0.74607,                0.58063,                0.66617,                0.53747,                 1.2276,                 1.2265,                  1.187,               0.008812,               0.008812,               0.008812
                     14,                 1.2965,                 1.2617,                 1.2352,                0.75707,                0.57199,                0.69724,                0.55959,                 1.2046,                 1.1829,                 1.1703,               0.008713,               0.008713,               0.008713
                     15,                 1.2835,                 1.2461,                  1.227,                0.75265,                0.57424,                0.69988,                0.55652,                 1.2171,                 1.1484,                  1.164,               0.008614,               0.008614,               0.008614
                     16,                 1.2793,                 1.2263,                 1.2174,                0.69695,                0.64197,                 0.7022,                0.56308,                 1.2016,                 1.1436,                 1.1624,               0.008515,               0.008515,               0.008515
                     17,                 1.2709,                 1.2084,                 1.2152,                0.70977,                0.63901,                0.70707,                0.57024,                 1.1957,                 1.1261,                 1.1641,               0.008416,               0.008416,               0.008416
                     18,                 1.2609,                 1.1972,                 1.2096,                0.66665,                 0.6689,                0.71731,                0.58385,                 1.1951,                 1.1211,                 1.1537,               0.008317,               0.008317,               0.008317
