epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.7706,1.48184,4.75296,1.23878,0.01583,0.04709,0.02411,0.01732,1.2229,3.95636,1.00432,4.88103e-05,4.88103e-05,4.88103e-05
2,82.6517,1.39536,2.64778,1.15938,0.81009,0.08023,0.08224,0.05946,1.25527,2.2727,1.06492,9.75021e-05,9.75021e-05,9.75021e-05
3,119.272,1.30691,2.01424,1.14299,0.7914,0.10654,0.12901,0.09815,1.25423,1.56681,1.05936,0.00014521,0.00014521,0.00014521
4,155.593,1.26106,1.71727,1.125,0.51525,0.20455,0.19662,0.15385,1.15484,1.37388,1.03841,0.000144575,0.000144575,0.000144575
5,192.026,1.21616,1.59669,1.10395,0.55945,0.24788,0.26253,0.2059,1.13242,1.23768,1.03222,0.0001431,0.0001431,0.0001431
6,230.183,1.18889,1.47468,1.09722,0.6761,0.27436,0.32647,0.26356,1.07302,1.18211,1.009,0.000141624,0.000141624,0.000141624
7,266.36,1.174,1.41622,1.0936,0.63341,0.31465,0.35172,0.29011,1.0679,1.11055,1.01573,0.000140149,0.000140149,0.000140149
8,301.772,1.15278,1.35118,1.08007,0.67622,0.30679,0.37508,0.30624,1.04321,1.05641,1.00688,0.000138674,0.000138674,0.000138674
9,338.176,1.14077,1.29319,1.07406,0.69297,0.38026,0.44926,0.36819,1.04796,1.01718,0.99727,0.000137199,0.000137199,0.000137199
10,375.133,1.11846,1.24229,1.06655,0.61943,0.40547,0.48623,0.39041,1.07456,0.98902,1.01257,0.000135724,0.000135724,0.000135724
11,412.898,1.10716,1.20239,1.06347,0.68172,0.42929,0.49691,0.40778,1.089,1.02377,1.02731,0.000134249,0.000134249,0.000134249
12,448.895,1.09862,1.16149,1.0583,0.69901,0.41957,0.53124,0.43692,1.02453,0.96529,1.00517,0.000132774,0.000132774,0.000132774
13,486.017,1.07915,1.1321,1.05087,0.72771,0.41932,0.55069,0.45342,1.03421,0.94636,1.00319,0.000131299,0.000131299,0.000131299
14,522.599,1.06936,1.10081,1.04616,0.66683,0.51954,0.58216,0.47822,1.02127,0.91243,1.0049,0.000129824,0.000129824,0.000129824
15,560.439,1.07231,1.07181,1.04697,0.744,0.49092,0.5977,0.48473,1.01908,0.91461,0.99698,0.000128349,0.000128349,0.000128349
16,596.173,1.06477,1.04179,1.04402,0.67724,0.51117,0.6157,0.50881,1.00922,0.9012,0.99967,0.000126873,0.000126873,0.000126873
17,632.356,1.05748,1.03337,1.04182,0.73855,0.50686,0.61904,0.50798,1.01731,0.91202,0.99482,0.000125398,0.000125398,0.000125398
18,668.803,1.06036,0.99898,1.03772,0.76433,0.50689,0.63751,0.52425,1.00827,0.86296,0.9962,0.000123923,0.000123923,0.000123923
19,706.573,1.04923,0.98435,1.035,0.70713,0.53844,0.64535,0.5338,1.01099,0.85602,1.00532,0.000122448,0.000122448,0.000122448
20,742.334,1.04265,0.96986,1.03228,0.63142,0.617,0.66569,0.55097,0.99955,0.84735,0.99514,0.000120973,0.000120973,0.000120973
21,778.448,1.03017,0.95269,1.02945,0.70543,0.57427,0.67206,0.56002,0.99789,0.84462,1.00552,0.000119498,0.000119498,0.000119498
22,814.979,1.02651,0.93472,1.02906,0.80297,0.53747,0.66657,0.55176,1.00655,0.85191,0.99837,0.000118023,0.000118023,0.000118023
23,852.904,1.02125,0.92053,1.02707,0.74336,0.54499,0.6734,0.55899,0.99056,0.85268,0.99772,0.000116548,0.000116548,0.000116548
24,889.297,1.0173,0.90394,1.02328,0.66784,0.63118,0.68781,0.56532,1.00019,0.82361,1.00122,0.000115073,0.000115073,0.000115073
25,925.627,1.00688,0.88842,1.01834,0.81562,0.55373,0.67947,0.56226,1.00098,0.83593,1.00107,0.000113598,0.000113598,0.000113598
26,962.08,1.01145,0.88096,1.01993,0.65013,0.638,0.68077,0.56235,0.99744,0.83693,0.99747,0.000112122,0.000112122,0.000112122
27,999.047,0.99833,0.86312,1.01567,0.63198,0.69279,0.71657,0.58748,0.99604,0.806,1.00264,0.000110647,0.000110647,0.000110647
28,1035.21,1.00279,0.8623,1.0196,0.77668,0.5932,0.70179,0.57515,0.99381,0.82391,1.00543,0.000109172,0.000109172,0.000109172
29,1071.3,0.98802,0.84772,1.0128,0.69983,0.65338,0.71983,0.59588,0.99954,0.81866,1.00743,0.000107697,0.000107697,0.000107697
30,1107.85,0.9883,0.82922,1.00685,0.77471,0.61279,0.71744,0.5888,0.99015,0.81765,0.99867,0.000106222,0.000106222,0.000106222
31,1145.53,0.98714,0.82935,1.00908,0.75559,0.63183,0.72928,0.6009,0.9801,0.78755,0.99932,0.000104747,0.000104747,0.000104747
32,1181.98,0.98421,0.8182,1.00694,0.79847,0.59136,0.72111,0.594,0.98077,0.78533,0.99752,0.000103272,0.000103272,0.000103272
33,1217.98,0.98458,0.81299,1.00833,0.68111,0.67788,0.72873,0.60335,0.98187,0.78955,1.00681,0.000101797,0.000101797,0.000101797
34,1254.97,0.9713,0.8036,1.00329,0.73123,0.66507,0.72508,0.59485,0.99159,0.79419,0.99862,0.000100322,0.000100322,0.000100322
35,1292.97,0.97324,0.7953,1.0023,0.80579,0.61276,0.7256,0.59749,1.00087,0.80667,1.00142,9.88466e-05,9.88466e-05,9.88466e-05
36,1328.91,0.9591,0.78341,0.99827,0.77818,0.63278,0.72746,0.59662,0.98424,0.76788,1.00455,9.73715e-05,9.73715e-05,9.73715e-05
37,1364.84,0.96214,0.77833,1.00064,0.74942,0.65953,0.73692,0.60881,0.99772,0.79495,1.00627,9.58964e-05,9.58964e-05,9.58964e-05
