                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96366,                0.72651,                 1.0439,                0.79288,                0.75571,                 0.7937,                0.65552,                 1.1329,                 0.9964,                 1.1297,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.0075,                0.77508,                 1.0662,                0.82557,                0.71417,                0.78528,                0.64653,                 1.1602,                 1.0417,                  1.145,               0.006629,               0.006629,               0.006629
                      3,                 1.0765,                0.87687,                 1.0989,                0.78489,                0.64493,                0.74422,                0.60527,                 1.2175,                 1.1863,                 1.1719,              0.0098964,              0.0098964,              0.0098964
                      4,                 1.1481,                0.99039,                 1.1371,                0.71195,                0.66674,                0.73706,                0.58878,                 1.2225,                 1.1616,                 1.1671,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1723,                 1.0163,                 1.1488,                0.72591,                0.70375,                0.75355,                0.60303,                 1.1876,                 1.1037,                 1.1579,               0.009802,               0.009802,               0.009802
                      6,                  1.176,                 1.0149,                 1.1518,                 0.8186,                0.64974,                0.75604,                0.60637,                 1.2121,                 1.1012,                 1.1721,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1693,                 1.0158,                 1.1503,                0.78916,                0.64692,                0.73291,                0.58328,                 1.1904,                 1.0866,                 1.1587,               0.009703,               0.009703,               0.009703
                      8,                 1.1639,                 1.0143,                 1.1459,                0.72115,                 0.6988,                0.75391,                0.60507,                 1.1965,                   1.11,                 1.1609,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1696,                 1.0161,                 1.1473,                0.76803,                 0.6819,                0.74747,                0.59737,                 1.1908,                 1.1086,                 1.1552,               0.009604,               0.009604,               0.009604
                     10,                 1.1651,                 1.0124,                 1.1464,                0.74052,                0.69686,                0.75734,                0.62049,                   1.19,                 1.0916,                 1.1517,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1597,                0.99781,                 1.1463,                0.78244,                0.66391,                0.75508,                 0.6069,                 1.2011,                 1.0892,                 1.1554,               0.009505,               0.009505,               0.009505
                     12,                 1.1646,                 1.0072,                 1.1464,                0.79395,                0.67902,                0.76271,                0.61659,                 1.2076,                 1.1067,                 1.1624,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1597,                 0.9973,                 1.1473,                 0.7495,                0.70215,                0.74206,                0.59083,                 1.1939,                 1.1719,                 1.1633,               0.009406,               0.009406,               0.009406
                     14,                 1.1565,                  0.996,                 1.1472,                0.79275,                0.67207,                0.75034,                0.60477,                 1.1848,                 1.0787,                 1.1622,              0.0093565,              0.0093565,              0.0093565
