epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.8663,1.21863,1.55232,1.19675,0.75572,0.66401,0.72752,0.60286,1.28171,1.55988,1.19032,4.8563e-05,4.8563e-05,4.8563e-05
2,151.095,1.1641,1.17463,1.15215,0.76778,0.68521,0.74699,0.61033,1.25034,1.25615,1.15793,9.72572e-05,9.72572e-05,9.72572e-05
3,207.295,1.15312,1.11234,1.14064,0.74099,0.69076,0.74869,0.62194,1.25163,1.20891,1.15457,0.000144968,0.000144968,0.000144968
4,267.289,1.14996,1.09539,1.13761,0.75027,0.67459,0.73612,0.61437,1.22039,1.17131,1.14234,0.000144575,0.000144575,0.000144575
5,323.531,1.14175,1.05991,1.12575,0.77863,0.65544,0.74445,0.6169,1.22678,1.16766,1.13802,0.0001431,0.0001431,0.0001431
6,382.145,1.12744,1.05068,1.12163,0.72496,0.71052,0.75675,0.62917,1.21517,1.14807,1.1251,0.000141624,0.000141624,0.000141624
7,440.061,1.12952,1.03241,1.11992,0.69406,0.71543,0.75874,0.62078,1.21169,1.13577,1.12891,0.000140149,0.000140149,0.000140149
8,497.881,1.1091,1.00948,1.11056,0.77905,0.67405,0.77468,0.63143,1.20475,1.13419,1.1253,0.000138674,0.000138674,0.000138674
9,555.922,1.11444,1.01217,1.11383,0.73662,0.69625,0.74496,0.61322,1.20669,1.09283,1.13231,0.000137199,0.000137199,0.000137199
10,616.441,1.10836,0.99862,1.10872,0.80012,0.65641,0.7619,0.62653,1.21245,1.1127,1.12887,0.000135724,0.000135724,0.000135724
11,672.681,1.0997,0.994,1.10658,0.73544,0.69816,0.76155,0.62491,1.19446,1.0791,1.12032,0.000134249,0.000134249,0.000134249
12,732.816,1.10084,0.97647,1.10373,0.80554,0.63926,0.75782,0.61742,1.19737,1.09011,1.11415,0.000132774,0.000132774,0.000132774
13,788.015,1.09987,0.96925,1.1022,0.7839,0.68436,0.76032,0.62198,1.197,1.09751,1.12688,0.000131299,0.000131299,0.000131299
14,847.8,1.08497,0.95322,1.09737,0.75794,0.6964,0.74356,0.61221,1.19407,1.09088,1.11982,0.000129824,0.000129824,0.000129824
15,903.762,1.08629,0.95257,1.09559,0.70755,0.71454,0.76369,0.62704,1.20932,1.07773,1.12688,0.000128349,0.000128349,0.000128349
16,962.959,1.08172,0.94822,1.09307,0.80765,0.66959,0.76152,0.62262,1.20361,1.0734,1.12063,0.000126873,0.000126873,0.000126873
17,1019.85,1.07807,0.93454,1.09257,0.75743,0.6868,0.76165,0.63321,1.19406,1.11073,1.1211,0.000125398,0.000125398,0.000125398
18,1080.09,1.07779,0.93408,1.08992,0.75486,0.67263,0.76388,0.62621,1.19879,1.03531,1.12273,0.000123923,0.000123923,0.000123923
19,1136.35,1.0718,0.92699,1.09176,0.81576,0.64025,0.76607,0.62591,1.19297,1.06412,1.12196,0.000122448,0.000122448,0.000122448
20,1196.25,1.07019,0.91784,1.08758,0.7666,0.69432,0.77436,0.63296,1.18957,1.04876,1.11781,0.000120973,0.000120973,0.000120973
21,1252.22,1.06471,0.91327,1.08663,0.79701,0.6578,0.75092,0.61661,1.18536,1.04501,1.1196,0.000119498,0.000119498,0.000119498
22,1311.7,1.0687,0.91043,1.08902,0.82315,0.6747,0.76595,0.62307,1.21496,1.06544,1.12415,0.000118023,0.000118023,0.000118023
23,1368.43,1.05717,0.89966,1.07988,0.80208,0.66716,0.77115,0.63417,1.20107,1.0464,1.12089,0.000116548,0.000116548,0.000116548
24,1425.52,1.06486,0.90233,1.08344,0.73422,0.71033,0.76232,0.62432,1.1898,1.04161,1.11269,0.000115073,0.000115073,0.000115073
25,1484.72,1.05645,0.88899,1.07513,0.80075,0.68518,0.75635,0.61641,1.20307,1.05516,1.12564,0.000113598,0.000113598,0.000113598
26,1544.8,1.0551,0.89009,1.07732,0.79232,0.67701,0.77063,0.63247,1.17969,1.05375,1.1189,0.000112122,0.000112122,0.000112122
27,1600.82,1.05109,0.88223,1.07505,0.78448,0.70183,0.76146,0.62419,1.19484,1.09829,1.12272,0.000110647,0.000110647,0.000110647
