                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96334,                0.72645,                 1.0435,                0.79405,                0.75629,                0.79405,                0.65373,                 1.1322,                 1.0017,                 1.1296,              0.0033287,              0.0033287,              0.0033287
                      2,                 1.0068,                0.77393,                 1.0648,                0.81308,                0.71256,                0.78441,                0.63737,                 1.1557,                  1.054,                 1.1385,               0.006629,               0.006629,               0.006629
                      3,                 1.0762,                 0.8738,                 1.0964,                0.72365,                0.71299,                0.76097,                0.61613,                  1.207,                 1.1539,                 1.1628,              0.0098964,              0.0098964,              0.0098964
                      4,                 1.1483,                0.98738,                 1.1384,                0.75376,                0.70664,                 0.7559,                0.60083,                 1.2122,                 1.1437,                 1.1691,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.1714,                 1.0135,                 1.1473,                0.78229,                0.66627,                0.76885,                0.62287,                 1.1738,                  1.093,                  1.151,               0.009802,               0.009802,               0.009802
                      6,                 1.1748,                 1.0173,                 1.1519,                0.74185,                0.67809,                0.75249,                0.60267,                 1.2036,                 1.1244,                 1.1626,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.1687,                 1.0142,                   1.15,                0.68733,                0.67933,                0.71931,                0.57673,                 1.1954,                 1.1067,                 1.1627,               0.009703,               0.009703,               0.009703
                      8,                 1.1651,                 1.0131,                 1.1482,                 0.7271,                0.63152,                0.72723,                0.59038,                 1.2059,                  1.155,                 1.1664,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1685,                 1.0115,                   1.15,                0.75184,                0.63794,                0.71348,                0.57635,                 1.2002,                 1.1345,                 1.1613,               0.009604,               0.009604,               0.009604
                     10,                 1.1653,                 1.0098,                 1.1481,                0.73825,                0.70019,                0.74767,                0.59641,                 1.1969,                 1.1095,                 1.1542,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1613,                0.99477,                 1.1486,                0.75969,                0.69575,                0.75611,                 0.6062,                 1.1917,                 1.0716,                 1.1524,               0.009505,               0.009505,               0.009505
                     12,                 1.1614,                0.99974,                  1.145,                0.81026,                0.67077,                0.74931,                0.60533,                 1.1845,                 1.0838,                 1.1518,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.1588,                 1.0044,                 1.1474,                0.75536,                0.67666,                0.73057,                0.59156,                 1.1835,                 1.1282,                 1.1531,               0.009406,               0.009406,               0.009406
                     14,                  1.157,                0.99959,                 1.1484,                 0.7844,                0.68279,                0.75579,                0.61453,                 1.1842,                 1.0688,                 1.1504,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.1525,                0.99222,                 1.1432,                0.69105,                0.69949,                0.74292,                0.59371,                 1.1772,                 1.0719,                 1.1519,               0.009307,               0.009307,               0.009307
                     16,                 1.1534,                 0.9862,                 1.1408,                0.79809,                0.66807,                0.75495,                0.61077,                 1.1804,                 1.0695,                 1.1475,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1509,                0.98222,                 1.1407,                0.76946,                0.70546,                0.76393,                 0.6204,                 1.1854,                  1.086,                 1.1546,               0.009208,               0.009208,               0.009208
                     18,                 1.1445,                0.98292,                 1.1381,                0.75747,                 0.7045,                0.75393,                0.61005,                 1.1749,                 1.0656,                 1.1499,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1445,                0.96977,                 1.1347,                0.77518,                0.70996,                0.76862,                0.62152,                 1.1654,                 1.0688,                 1.1437,               0.009109,               0.009109,               0.009109
                     20,                 1.1424,                0.96665,                 1.1334,                0.73931,                0.71243,                0.76073,                 0.6152,                 1.1753,                 1.0607,                  1.156,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1402,                0.96702,                 1.1351,                0.75595,                 0.7044,                0.78436,                0.63157,                 1.1578,                 1.0585,                 1.1412,                0.00901,                0.00901,                0.00901
                     22,                   1.14,                 0.9617,                 1.1311,                0.74875,                0.71788,                0.76914,                0.62336,                 1.1644,                 1.0506,                 1.1481,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.1367,                0.95549,                 1.1333,                0.70875,                0.72761,                0.76333,                0.61735,                 1.1591,                 1.0562,                  1.143,               0.008911,               0.008911,               0.008911
                     24,                 1.1413,                0.95489,                 1.1316,                0.74793,                0.73385,                0.77127,                0.62683,                 1.1596,                 1.0279,                 1.1423,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.1365,                0.94762,                 1.1332,                0.73796,                0.71756,                0.77272,                0.62548,                 1.1585,                 1.0494,                 1.1341,               0.008812,               0.008812,               0.008812
                     26,                 1.1288,                0.94543,                 1.1269,                0.79661,                0.69621,                0.77227,                0.63436,                 1.1561,                 1.0241,                 1.1449,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.1235,                0.93743,                 1.1279,                0.78897,                0.70102,                0.76415,                0.62438,                 1.1587,                 1.0325,                  1.149,               0.008713,               0.008713,               0.008713
                     28,                 1.1254,                0.94011,                 1.1297,                0.79123,                0.70595,                0.77733,                0.63746,                 1.1594,                 1.0293,                 1.1577,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.1339,                0.94296,                 1.1304,                0.81112,                0.70639,                0.77534,                0.63292,                 1.1534,                 1.0389,                 1.1432,               0.008614,               0.008614,               0.008614
                     30,                 1.1223,                0.93385,                 1.1232,                0.80707,                0.68965,                0.78192,                0.64595,                 1.1501,                 1.0359,                 1.1438,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.1135,                0.92769,                 1.1209,                0.73462,                0.74259,                0.78526,                0.64257,                 1.1453,                 1.0179,                 1.1406,               0.008515,               0.008515,               0.008515
                     32,                 1.1198,                0.92758,                 1.1233,                 0.7908,                 0.7173,                 0.7777,                0.64209,                 1.1417,                 1.0237,                  1.137,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.1159,                0.92386,                 1.1204,                0.81682,                0.71639,                 0.7822,                0.64268,                 1.1385,                 1.0142,                 1.1342,               0.008416,               0.008416,               0.008416
                     34,                  1.106,                0.91716,                 1.1143,                0.76646,                 0.7209,                0.77673,                 0.6397,                  1.139,                  1.014,                 1.1368,              0.0083665,              0.0083665,              0.0083665
                     35,                 1.1123,                0.91844,                 1.1203,                0.78091,                0.73059,                0.77527,                0.64077,                 1.1499,                 1.0199,                 1.1376,               0.008317,               0.008317,               0.008317
                     36,                 1.1147,                0.91713,                 1.1205,                0.76866,                0.74394,                0.77752,                0.63561,                 1.1405,                 0.9969,                  1.134,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.1085,                0.91029,                 1.1154,                 0.8114,                0.71366,                0.77492,                0.63706,                 1.1285,                 1.0137,                 1.1262,               0.008218,               0.008218,               0.008218
                     38,                 1.1126,                0.91738,                 1.1193,                0.79497,                0.71572,                0.77204,                0.63544,                 1.1346,                 1.0041,                 1.1302,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1035,                0.90593,                 1.1123,                0.79799,                0.71192,                0.78505,                0.64828,                 1.1333,                 1.0083,                 1.1278,               0.008119,               0.008119,               0.008119
                     40,                 1.1031,                0.90559,                 1.1134,                0.79553,                0.73246,                0.78401,                0.64966,                 1.1365,                 1.0114,                 1.1311,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1012,                0.90168,                 1.1138,                0.77323,                0.73473,                0.78976,                0.65123,                 1.1323,                 1.0042,                 1.1317,                0.00802,                0.00802,                0.00802
                     42,                 1.0931,                0.89432,                 1.1101,                0.78183,                0.73586,                0.79103,                0.64939,                 1.1353,                 1.0103,                 1.1334,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1012,                0.90042,                 1.1126,                0.78904,                0.73226,                0.79292,                0.64658,                 1.1212,                0.98651,                 1.1259,               0.007921,               0.007921,               0.007921
                     44,                 1.1046,                0.90725,                 1.1157,                0.81367,                0.71205,                 0.7904,                0.64836,                 1.1274,                0.98604,                 1.1283,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.0937,                0.89261,                 1.1104,                0.81725,                0.71155,                0.78889,                0.64679,                 1.1193,                0.99236,                 1.1235,               0.007822,               0.007822,               0.007822
                     46,                 1.0925,                0.89338,                 1.1074,                0.78884,                0.73656,                0.79174,                0.64839,                 1.1278,                0.98881,                 1.1254,              0.0077725,              0.0077725,              0.0077725
                     47,                  1.099,                0.89269,                 1.1091,                0.80149,                 0.7447,                0.79614,                0.65457,                 1.1254,                0.98087,                 1.1255,               0.007723,               0.007723,               0.007723
                     48,                 1.0931,                0.88759,                 1.1089,                0.79208,                0.75063,                0.79984,                0.66168,                 1.1114,                0.97737,                 1.1169,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.0889,                0.88112,                 1.1059,                0.77961,                 0.7554,                0.80618,                  0.661,                 1.1195,                0.97454,                  1.126,               0.007624,               0.007624,               0.007624
